"year","name","tot","n.all","n.used","hi","lo","sd","board.rk"
2011,"Jamie Skeen",146,5,4,59,105,18.4200977196105,69
2011,"Willie Reed",144,4,4,52,74,9.59166304662544,70
2011,"Diante Garrett",143,4,4,61,70,4.03112887414927,71
2011,"LaceDarius Dunn",138,5,5,63,84,8.73498712076898,72
2011,"Chris Wright (Dayton)",134,6,6,58,82,9.44457516249408,73
2011,"Gary Flowers",134,5,5,54,91,14.7885090526395,73
2011,"Jacob Pullen",119,6,6,55,94,12.5019998400256,76
2011,"Julyan Stone",114,5,4,54,104,20.9690247746527,77
2011,"Mindaugas Kuzminskas",102,3,3,51,76,13.8924439894498,79
2011,"Gilbert Brown",82,4,4,51,91,19.6892525674965,80
2011,"Ravern Johnson",81,5,4,53,108,20.1791972090071,81
2011,"Terrence Jennings",80,4,4,71,89,7.48331477354788,82
2011,"Xavier Silas",78,4,4,70,99,12.6622799421484,83
2011,"Cam Long",70,3,3,60,72,6.65832811847939,86
2011,"Delroy James",65,4,3,62,108,19.2959408512084,87
2011,"Mike Davis",59,4,4,73,92,8.92094912738176,88
2011,"Austin Freeman",58,4,3,68,107,17.0684894859895,89
2011,"Robin Benzing",54,4,4,81,98,7.41619848709566,90
2011,"Durrell Summers",53,4,3,76,109,14.0564338768172,91
2011,"Malcolm Delaney",50,3,3,76,91,7.63762615825973,92
2011,"Justin Hurtt",48,3,2,62,102,20.8166599946613,93
2011,"Pablo Aguilar",47,4,4,80,94,6.39661368746516,94
2011,"Corey Fisher",47,3,2,69,103,17,94
2011,"Justin Brownlee",47,3,2,77,115,21.6564078277077,94
2011,"Kalin Lucas",45,4,4,83,94,5.31507290636732,98
2011,"Jeremy Hazell",45,2,2,60,97,26.1629509039023,98
2011,"Mario Little",40,1,1,61,61,,100
2011,"DeAngelo Casto",39,2,2,64,99,24.7487373415292,101
2011,"Jerai Grant",37,3,2,82,117,19.9248588451713,102
2011,"John Holland",37,3,2,76,134,30.4357246231026,102
2011,"Denzel Bowles",36,1,1,65,65,,104
2011,"Cory Higgins",32,3,3,88,93,2.51661147842358,107
2011,"Jackson Emery",31,2,1,70,136,46.6690475583121,108
2011,"Alex Tyus",29,3,2,37,121,43.1315816233689,109
2011,"Corey Stokes",29,2,2,53,80,19.0918830920368,109
2011,"Bill Clark",26,2,1,75,127,36.7695526217005,111
2011,"Matt Howard",24,5,4,59,109,18.4851291583262,112
2011,"Chris Wright (Georgetown)",24,3,2,57,133,38.8501394248892,112
2011,"Antoine Diot",24,3,1,77,114,20.3059925473574,112
2011,"Dogus Balbay",22,2,1,79,111,22.6274169979695,117
2011,"Gary McGhee",21,3,3,82,100,10.3923048454133,118
2011,"Mark Payne",20,4,3,87,110,9.53502316025854,119
2011,"Jeff Allen",19,2,1,82,130,33.9411254969543,120
2011,"Chaisson Allen",17,2,1,84,105,14.8492424049175,121
2011,"D.J. Kennedy",16,2,1,85,122,26.1629509039023,122
2011,"Dallas Lauderdale",15,2,1,86,113,19.0918830920368,124
2011,"Carleton Scott",15,1,1,86,86,,124
2011,"Randy Culpepper",14,3,1,87,103,8.71779788708135,126
2011,"Bangaly Fofana",12,1,1,89,89,,127
2011,"Steven Gray",9,2,1,92,132,28.2842712474619,128
2011,"Pere Tomas",8,2,1,93,129,25.4558441227157,129
2011,"Frank Hassell",8,1,1,93,93,,129
2011,"Sam Muldrow",6,2,1,95,106,7.77817459305202,131
2011,"Dwight Hardy",4,2,1,97,116,13.4350288425444,132
2011,"Billy White",4,1,1,97,97,,132
2011,"Clarence Jackson",3,2,1,98,135,26.1629509039023,134
2011,"Kevin Anderson",3,1,1,98,98,,134
2011,"Mamadou Diarra",3,1,1,98,98,,134
2011,"Zoran Dragic",2,2,1,99,119,14.142135623731,137
2011,"Ferrakohn Hall",2,1,1,99,99,,137
2011,"Tre'Von Willis",2,1,1,99,99,,137
2011,"Talor Battle",1,2,1,100,125,17.6776695296637,140
2011,"Edwin Jackson",1,1,1,100,100,,140
2011,"Brian Williams",0,1,0,139,139,,142
2011,"Casey Mitchell",0,1,0,124,124,,142
