"id","Player","start","end","seasons","G","WS","All.NBA.tot","All NBA-1","All NBA-2","All NBA-3","AS NBA","bs.rk","slam.rk","missed","First","Quarters","Semis","Finals","Champ","closest.series.cnt","games.away.min","closest.lab","simp.lab"
"connapa01","Pat Connaughton",2016,2019,4,216,6.8,0,0,0,0,0,,,0,2,1,1,0,0,1,2,"2019: Toronto Raptors (4) - Milwaukee Bucks (2)","2019: Toronto Raptors"
"connele01","Lester Conner",1983,1995,12,687,28.4,0,0,0,0,0,,,8,3,0,1,0,0,1,1,"1994: New York Knicks (4) - Indiana Pacers (3)","1994: New York Knicks"
"connoch01","Chuck Connors",1947,1948,2,53,-0.3,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"conrowi01","Will Conroy",2007,2013,3,16,-0.4,0,0,0,0,0,,,3,0,0,0,0,0,,,,
"cookan01","Anthony Cook",1991,1996,4,116,1.1,0,0,0,0,0,,,4,0,0,0,0,0,,,,
"cookbe01","Bert Cook",1955,1955,1,37,0,0,0,0,0,0,,,0,0,1,0,0,0,1,1,"1955: Boston Celtics (2) - New York Knicks (1)","1955: Boston Celtics"
"cookbo01","Bobby Cook",1950,1950,1,51,1.9,0,0,0,0,0,,,0,1,0,0,0,0,1,1,"1950: Indianapolis Olympians (2) - Sheboygan Red Skins (1)","1950: Indianapolis Olympians"
"cookbr01","Brian Cook",2004,2012,9,421,10.1,0,0,0,0,0,,,5,2,1,0,1,0,1,3,"2004: Detroit Pistons (4) - Los Angeles Lakers (1)","2004: Detroit Pistons"
"cookda01","Darwin Cook",1981,1989,8,612,22.9,0,0,0,0,0,,,1,6,1,0,0,0,1,2,"1984: Milwaukee Bucks (4) - New Jersey Nets (2)","1984: Milwaukee Bucks"
"cookda02","Daequan Cook",2008,2013,6,328,4.9,0,0,0,0,0,,,2,1,1,1,1,0,1,3,"2012: Miami Heat (4) - Oklahoma City Thunder (1)","2012: Miami Heat"
"cookech01","Charles Cooke",2018,2018,1,13,-0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"cookeda01","David Cooke",1986,1986,1,6,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"cookejo01","Joe Cooke",1971,1971,1,73,-0.4,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"cookje01","Jeff Cook",1980,1988,8,518,17.8,0,0,0,0,0,,,3,2,3,0,0,0,1,1,"1981: Kansas City Kings (4) - Phoenix Suns (3)","1981: Kansas City Kings"
"cookno01","Norm Cook",1977,1978,2,27,-0.1,0,0,0,0,0,,,1,0,1,0,0,0,1,1,"1977: Philadelphia 76ers (4) - Boston Celtics (3)","1977: Philadelphia 76ers"
"cookom01","Omar Cook",2004,2005,2,22,-0.1,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"cookqu01","Quinn Cook",2017,2019,3,121,3.6,0,0,0,0,0,,,1,0,0,0,1,1,,,,
"cooleja01","Jack Cooley",2015,2018,2,23,0.5,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"coopech01","Chuck Cooper",1951,1956,6,409,11.6,0,0,0,0,0,,,1,0,2,2,1,0,1,3,"1956: Philadelphia Warriors (4) - Fort Wayne Pistons (1)","1956: Philadelphia Warriors"
"coopedu01","Duane Cooper",1993,1994,2,88,-0.5,0,0,0,0,0,,,1,1,0,0,0,0,1,1,"1993: Phoenix Suns (3) - Los Angeles Lakers (2)","1993: Phoenix Suns"
"coopejo01","Joe Cooper",1982,1985,3,24,0.3,0,0,0,0,0,,,3,0,0,0,0,0,,,,
"coopemi01","Michael Cooper",1979,1990,12,873,52.4,0,0,0,0,0,,137,1,1,1,1,3,5,,,,
"coopewa01","Wayne Cooper",1979,1992,14,984,37,0,0,0,0,0,,,4,3,3,2,2,0,1,2,"1992: Chicago Bulls (4) - Portland Trail Blazers (2)","1992: Chicago Bulls"
