"state","GEOID","NAME","type","c2010","c2000","c1990","c1980","c1970","c1960","c1950","c1940","c1930","c1920","c1910","c1900","c1890","c1880","c1870","c1860","c1850","c1840","c1830","c1820","c1810","c1800","c1790","simp.name"
"CT","25540","Hartford-East Hartford-Middletown, CT","Metropolitan Statistical Area",1212381,1148618,1123678,1051606,1034993,847157,651702,538054,501144,410793,322278,261763,211785,185083,167106,141998,117274,98488,94677,83999,79235,76313,69990,"Hartford, CT"
"CT","35300","New Haven-Milford, CT","Metropolitan Statistical Area",862477,824008,804219,761337,744948,660315,545784,484316,463449,415214,337282,269163,209058,156523,121257,97345,65588,48582,43847,39616,37064,32162,30830,"New Haven, CT"
"CT","35980","Norwich-New London, CT","Metropolitan Statistical Area",274055,259088,254957,238409,230348,185745,144821,125224,118966,104611,91253,82758,76634,73152,66570,61731,51821,44463,42201,35943,34707,34883,33200,"Norwich, CT"
"CT","45860","Torrington, CT","Micropolitan Statistical Area",189927,182193,174092,156769,144091,119856,98872,87041,82556,76262,70260,63672,53542,52044,48727,47318,45253,40448,42858,41267,41375,41214,38755,"Torrington, CT"
"DC-VA-MD-WV","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","Metropolitan Statistical Area",5649540,4849948,4169276,3436880,3172984,2335243,1729564,1206291,893393,795238,667900,603129,304384,305542,265617,274256,259636,244895,259566,244271,240582,226625,203137,"Washington, DC"
"DE","20100","Dover, DE","Metropolitan Statistical Area",162310,126697,110993,98219,81892,65651,37870,34441,31841,31023,32721,32762,32664,32874,29804,27804,22816,19872,19913,20793,20495,19554,18920,"Dover, DE"
"FL","11580","Arcadia, FL","Micropolitan Statistical Area",34862,32209,23865,19039,13060,11683,9242,7792,7745,25434,14200,8047,4944,0,0,0,0,0,0,0,0,0,0,"Arcadia, FL"
"FL","15980","Cape Coral-Fort Myers, FL","Metropolitan Statistical Area",618754,440888,335113,205266,105216,54539,23404,17488,14990,9540,6294,3071,1414,0,0,0,0,0,0,0,0,0,0,"Cape Coral, FL"
"FL","17500","Clewiston, FL","Micropolitan Statistical Area",39140,36210,25773,18599,11859,8119,6051,5237,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clewiston, FL"
"FL","18880","Crestview-Fort Walton Beach-Destin, FL","Metropolitan Statistical Area",235865,211099,171536,131220,104274,76751,42258,27146,24473,21479,16460,9346,4816,4201,3041,3037,1817,1461,1207,0,0,0,0,"Crestview, FL"
"FL","19660","Deltona-Daytona Beach-Ormond Beach, FL","Metropolitan Statistical Area",590289,493175,399413,269675,173941,129885,77596,56718,45223,25816,16510,10003,8467,3294,1723,1158,0,0,0,0,0,0,0,"Deltona, FL"
"FL","23540","Gainesville, FL","Metropolitan Statistical Area",305076,266842,217186,176985,121071,87306,71162,55407,50958,41610,44666,40848,29520,22229,19346,10013,2989,2282,2204,0,0,0,0,"Gainesville, FL"
"FL","26140","Homosassa Springs, FL","Metropolitan Statistical Area",141236,118085,93515,54703,19196,9268,6111,5846,5516,5220,6731,5391,2394,0,0,0,0,0,0,0,0,0,0,"Homosassa Springs, FL"
"FL","27260","Jacksonville, FL","Metropolitan Statistical Area",1345596,1122750,925213,737541,621519,529532,362474,253959,196686,149184,109817,68703,52293,35742,22209,13670,9228,8742,6019,0,0,0,0,"Jacksonville, FL"
"FL","28580","Key West, FL","Micropolitan Statistical Area",73090,79589,78024,63188,52586,47921,29957,14078,13624,19550,21563,18006,18786,10940,5657,2913,2645,688,517,0,0,0,0,"Key West, FL"
