"sport","year","teams","non_na","mean_season","med_season","sd_season"
"nba",1977,22,22,3.45372176901029,2.70672218917311,2.91137752074143
"nba",1978,22,22,3.114043006369,2,2.60521466261028
"nba",1979,22,22,3.4896311303212,3,2.939801727202
"nba",1980,22,22,3.26394025367851,2.36585365853658,2.84398101235562
"nba",1981,23,23,2.96948633060032,2,2.53124250659329
"nba",1982,23,23,3.3272896567778,2,2.7975473192823
"nba",1983,23,23,4.02538602798541,3,2.99076564427195
"nba",1984,23,23,3.48750743604997,2.75609756097561,2.92558386891075
"nba",1985,23,23,3.9065385510695,2,3.1379437625208
"nba",1986,23,23,3.94040814215141,3,3.20729790401028
"nba",1987,23,23,3.47470449784031,2,2.86963698524251
"nba",1988,23,23,2.80991516436903,2,2.23295292264461
"nba",1989,25,25,2.52233194527067,1.67073170731707,2.23909618154292
"nba",1990,27,27,2.8223059466367,2,2.48111781745474
"nba",1991,27,27,2.42090796924229,2,1.56234328022328
"nba",1992,27,27,2.73221407010818,2,1.84315265169144
"nba",1993,27,27,2.38974265758918,1.55636525877454,1.76401339176108
"nba",1994,27,27,2.5890343049772,2,1.7426267013878
"nba",1995,27,27,2.51296626787406,2,1.62833201873545
"nba",1996,29,29,2.59513015651603,2,1.80153369804346
"nba",1997,29,29,2.6746599930255,2,2.09091212186208
"nba",1998,29,29,2.81379105212415,1.90243902439024,2.45557617994821
"nba",1999,29,29,2.65705365853659,2,2.26818516742233
"nba",2000,29,29,2.90867094709635,2,2.51121398537605
"nba",2001,29,29,3.0811955117028,2,2.73649014017246
"nba",2002,29,29,3.36647828673409,2,3.00673910937012
"nba",2003,29,29,3.98856797062504,3,3.28175201171473
"nba",2004,29,29,2.88357709901742,1.32971445568114,3.35077557981713
"nba",2005,30,30,2.79938032916915,1.77439024390244,3.34432168907505
"nba",2006,30,30,2.75963712076145,2,3.45852422531142
"nba",2007,30,30,3.27724568709102,2.35365853658536,3.44980893624946
"nba",2008,30,30,3.55691056910569,3,3.73435364829581
"nba",2009,30,30,3.37323022010708,1.75029744199881,4.15953988909896
"nba",2010,30,30,3.72417211976998,2,4.27570375720963
"nba",2011,30,30,3.50010906206623,2.42682926829268,3.53176480585834
"nba",2012,30,30,3.08277676991646,2,3.01767924571864
"nba",2013,30,30,3.35789708506841,2.26524390243903,3.20684801459274
"nba",2014,30,30,2.86450104855816,2,3.23865383081325
"nba",2015,30,30,3.18589163496956,2,3.52491308129001
"nba",2016,30,30,3.21784682037508,2,3.67588221775035
"nba",2017,30,30,3.42276422764227,2,3.93738080228989
"nba",2018,30,30,4.27626908586159,3,4.01892659525518
"nba",2019,30,30,4.1178663493952,3,4.46361240219022
"nba",2020,30,30,4.66506137531351,3.67206790123457,4.7427600062532
"nba",2021,30,30,4.28521451003328,2,5.18614183485508
"nba",2022,30,30,3.83776338446624,2,5.02566808480208
"nba",2023,30,30,4.17389570209023,3,5.1697419907055
"nfl",1922,18,18,1.45943562610229,1,0.801038856524454
"nfl",1923,20,20,1.67525850340136,1.16666666666666,1.00876755013598
"nfl",1924,18,18,2.0124716553288,1,1.44778942529669
"nfl",1925,20,20,1.734,1,1.49256543539885
"nfl",1926,22,22,2.11113636363636,1.65,1.74709686529109
"nfl",1927,12,12,2.20884773662551,1,2.55321741872887
"nfl",1928,10,10,2.85555555555556,1.77777777777778,3.01621134276057
"nfl",1929,12,12,2.66666666666667,1,3.25669473639465
"nfl",1930,11,11,2.23824801261364,1,2.73556380381442
"nfl",1931,10,10,2.40684173883817,1.40450254175744,3.08904915916607
"nfl",1932,8,8,2.88970588235294,1.5,3.75463957512573
"nfl",1933,10,10,2.56976470588235,1,3.77151924512899
"nfl",1934,11,11,3.19251336898396,2,3.73953820114842
"nfl",1935,9,9,3.90196078431373,3,4.48835478986713
"nfl",1936,9,9,4.45751633986928,2,4.75132268761181
"nfl",1937,10,10,4.01176470588235,2,4.99686945441672
"nfl",1938,10,10,4.89936801166748,3,5.08402245113245
"nfl",1939,10,10,5.0266407389402,3.5,5.63500928721162
"nfl",1940,10,10,5.48449197860962,3.5,6.01436918689979
"nfl",1941,10,10,5.71176470588235,2.5,6.45806571979682
"nfl",1942,10,10,5.96796305298979,3.54545454545454,6.5413819292952
"nfl",1943,8,9,5.02317290552584,1.5,7.80067772744913
"nfl",1944,10,11,4.9280505590666,2,7.39002118213186
"nfl",1945,10,10,6.06631016042781,3,7.8252604564672
"nfl",1946,10,10,6.11176470588235,2.5,8.37484240987462
"nfl",1947,10,10,6.61176470588235,2,8.67217463161431
"nfl",1948,10,10,6.81176470588235,3,9.10584519760705
"nfl",1949,10,10,6.95065359477124,2,9.62865100688105
"nfl",1950,13,13,4.42571644042232,3,5.40135869854765
"nfl",1951,12,12,4.364549291939,2,5.68301821558722
"nfl",1952,12,12,4.59429466230937,2,6.06725758603434
"nfl",1953,12,12,5.2713779956427,2.5,6.25251092123267
"nfl",1954,12,12,3.65972222222222,2.45833333333333,3.36808744648028
"nfl",1955,12,12,3.5,2,3.26134383902765
"nfl",1956,12,12,3.25,3,2.80016233295663
"nfl",1957,12,12,3.5,3,2.90767010758536
"nfl",1958,12,12,3.58333333333333,2.5,3.3967453227875
"nfl",1959,12,12,3.83333333333333,2.5,3.68863939767235
"nfl",1960,13,13,4.15384615384615,3,3.78255103173669
