"sport","fran_id","year","season.order","lg","coach","coach_id","g","coach_g","coach_dur","weight","change","stint_id","cum_season","coach_tag","g_no_tie","fran_id_fix","season","g_final","fran_id_final","min_yr","max_yr","team"
"cfb","new-york-university",1941,15,"Ind",,"mal-stevens-1",9,9,1,1,FALSE,5,8,"Stevens, Mal",,,,9,"new-york-university",1934,1941,"New York University"
"cfb","north-carolina",1941,38,"Southern",,"raymond-wolf-1",10,10,1,1,FALSE,25,6,"Wolf, Raymond",,,,10,"north-carolina",1936,1941,"North Carolina"
"cfb","north-carolina-state",1941,36,"Southern",,,11,,,,TRUE,38,,,,,,11,"north-carolina-state",1941,1941,"North Carolina State"
"cfb","oregon",1941,26,"PCC",,"tex-oliver-1",10,10,1,1,FALSE,21,4,"Oliver, Tex",,,,10,"oregon",1938,1941,"Oregon"
"cfb","purdue",1941,50,"Western",,"mal-elward-1",8,8,1,1,FALSE,29,5,"Elward, Mal",,,,8,"purdue",1937,1941,"Purdue"
"cfb","richmond",1941,16,"Southern",,"glenn-thistlethwaite-1",9,9,1,1,FALSE,6,8,"Thistlethwaite, Glenn",,,,9,"richmond",1934,1941,"Richmond"
"cfb","saint-louis",1941,12,"MVC",,,10,,,,TRUE,11,,,,,,10,"saint-louis",1941,1941,"Saint Louis"
"cfb","saint-marys-ca",1941,12,"Ind",,"red-strader-1",9,9,1,1,FALSE,4,2,"Strader, Red",,,,9,"saint-marys-ca",1940,1941,"Saint Mary's (CA)"
"cfb","san-francisco",1941,10,"Ind",,"jeff-cravath-1",10,10,1,1,TRUE,4,1,"Cravath, Jeff",,,,10,"san-francisco",1941,1941,"San Francisco"
"cfb","sewanee",1941,40,"Ind",,"jenks-gillem-1",7,7,1,1,FALSE,7,2,"Gillem, Jenks",,,,7,"sewanee",1940,1941,"Sewanee"
"cfb","southern-california",1941,20,"PCC",,"sam-barry-1",9,9,1,1,TRUE,18,1,"Barry, Sam",,,,9,"southern-california",1941,1941,"USC"
"cfb","southern-methodist",1941,26,"SWC",,"madison-bell-1",10,10,1,1,FALSE,14,7,"Bell, Madison",,,,10,"southern-methodist",1935,1941,"SMU"
"cfb","stanford",1941,24,"PCC",,"clark-shaughnessy-1",9,9,1,1,FALSE,8,2,"Shaughnessy, Clark",,,,9,"stanford",1940,1941,"Stanford"
"cfb","texas-el-paso",1941,7,"BIAA",,"mack-saxon-1",10,10,1,1,FALSE,13,7,"Saxon, Mack",,,,10,"texas-el-paso",1935,1941,"UTEP"
"cfb","tulane",1941,37,"SEC",,"red-dawson-1",9,9,1,1,FALSE,27,6,"Dawson, Red",,,,9,"tulane",1936,1941,"Tulane"
"cfb","virginia-tech",1941,40,"Southern",,"jimmy-kitts-1",10,10,1,1,TRUE,19,1,"Kitts, Jimmy",,,,10,"virginia-tech",1941,1941,"Virginia Tech"
"cfb","washington",1941,26,"PCC",,"james-phelan-1",9,9,1,1,FALSE,11,12,"Phelan, James",,,,9,"washington",1930,1941,"Washington"
"cfb","washington-lee",1941,35,"Southern",,"riley-smith-1",9,9,1,1,TRUE,16,1,"Smith, Riley",,,,9,"washington-lee",1941,1941,"Washington & Lee"
"cfb","washington-mo",1941,39,"MVC",,"frank-loebs-1",9,9,1,1,FALSE,6,2,"Loebs, Frank",,,,9,"washington-mo",1940,1941,"Washington (MO)"
"cfb","west-texas-am",1941,1,"BIAA",,"jack-curtice-1",10,10,1,1,TRUE,8,1,"Curtice, Jack",,,,10,"west-texas-am",1941,1941,"West Texas State"
"cfb","yale",1941,68,"Ind",,"spike-nelson-1",8,8,1,1,TRUE,24,1,"Nelson, Spike",,,,8,"yale",1941,1941,"Yale"
"mlb","BAL",1941,,"AL",,"haneyfr01",157,44,0.285714285714286,0.285714285714286,FALSE,11,2.28571428571429,"Fred Haney",154,,,154,"BAL",1939,1941,"Baltimore Orioles"
"mlb","CLE",1941,,"AL",,"peckiro01",155,154,1,1,TRUE,37,1,"Roger Peckinpaugh",154,,,154,"CLE",1941,1941,"Cleveland Guardians"
"mlb","PHI",1941,,"NL",,"prothdo01",155,154,1,1,FALSE,37,3,"Doc Prothro",154,,,154,"PHI",1939,1941,"Philadelphia Phillies"
"mlb","SFG",1941,,"NL",,"terrybi01",156,153,1,1,FALSE,27,9.74025974025974,"Bill Terry",153,,,153,"SFG",1932,1941,"San Francisco Giants"
"nfl","bkn",1941,,"NFL","Sutherland","SuthJo0",11,11,1,1,FALSE,13,2,"Jock Sutherland",,"day-bkn",,11,"day-bkn",1940,1941,
"nfl","pit",1941,,"NFL","Bell","BellBe0",11,2,0.181818181818182,0.181818181818182,TRUE,4,0.181818181818182,"Bert Bell",,"pit",,11,"pit",1941,1941,"Pittsburgh Steelers"
"nfl","pit",1941,,"NFL","Donelli","DoneAl0",11,5,0.454545454545455,0.454545454545455,TRUE,8,0.454545454545455,"Aldo Donelli",,"pit",,11,"pit",1941,1941,"Pittsburgh Steelers"
"nhl",,1941,24,"NHL",,"weilaco01c",48,48,1,1,FALSE,34,2,"Weiland, Cooney",,"BOS","1940-41",48,"BOS",1940,1941,"Boston Bruins"
"cbbm","alabama",1942,30,"SEC","Hank Crisp (18-6)","hank-crisp-1",24,24,1,1,FALSE,10,19,,,,,24,"alabama",1924,1942,"Alabama"
"cbbm","arkansas",1942,19,"SWC","Glen Rose (19-4)","glen-rose-1",23,23,1,1,FALSE,7,9,,,,,23,"arkansas",1934,1942,"Arkansas"
"cbbm","auburn",1942,37,"SEC","Ralph Jordan (11-6)","ralph-jordan-1",17,17,1,1,FALSE,14,9,,,,,17,"auburn",1934,1942,"Auburn"
"cbbm","bowling-green-state",1942,27,"Ind","Paul Landis (8-12)","paul-landis-1",20,20,1,1,FALSE,15,17,,,,,20,"bowling-green-state",1926,1942,"Bowling Green State"
"cbbm","brown",1942,36,"Ind","Tippy Dye (11-7)","tippy-dye-1",18,18,1,1,TRUE,27,1,,,,,18,"brown",1942,1942,"Brown"
"cbbm","bucknell",1942,47,"Ind","Malcolm Musser (9-9)","malcolm-musser-1",18,18,1,1,FALSE,20,10,,,,,18,"bucknell",1933,1942,"Bucknell"
"cbbm","butler",1942,45,"Ind","Tony Hinkle (13-9)","tony-hinkle-1",22,22,1,1,FALSE,23,16,,,,,22,"butler",1927,1942,"Butler"
"cbbm","chicago",1942,42,"Big Ten","Nelson Norgren (1-20)","nelson-norgren-1",21,21,1,1,FALSE,5,21,,,,,21,"chicago",1922,1942,"Chicago Maroons"
"cbbm","cincinnati",1942,41,"Ind","Clark Ballard (10-10)","clark-ballard-1",20,20,1,1,FALSE,8,3,,,,,20,"cincinnati",1940,1942,"Cincinnati"
"cbbm","citadel",1942,30,"Southern","Ben Clemons (2-14)","ben-clemons-1",16,16,1,1,TRUE,1,1,,,,,16,"citadel",1942,1942,"The Citadel"
"cbbm","columbia",1942,42,"Ivy","Paul Mooney (2-13)","paul-mooney-1",15,15,1,1,FALSE,21,9,,,,,15,"columbia",1934,1942,"Columbia"
"cbbm","cornell",1942,44,"Ivy","Blair Gullion (9-12)","blair-gullion-1",21,21,1,1,FALSE,5,4,,,,,21,"cornell",1939,1942,"Cornell"
"cbbm","depaul",1942,19,"Ind","Bill Wendt (10-12)","bill-wendt-1",22,22,1,1,FALSE,1,2,,,,,22,"depaul",1941,1942,"DePaul"
"cbbm","duke",1942,37,"Southern","Eddie Cameron (22-2)","eddie-cameron-1",24,24,1,1,FALSE,5,14,,,,,24,"duke",1929,1942,"Duke"
"cbbm","florida",1942,22,"SEC","Sam McAllister (8-9)","sam-mcallister-1",17,17,1,1,FALSE,16,5,,,,,17,"florida",1938,1942,"Florida"
"cbbm","furman",1942,23,"Southern","Robert Smith (10-9)","robert-smith-6",19,19,1,1,FALSE,17,7,,,,,19,"furman",1936,1942,"Furman"
"cbbm","george-washington",1942,27,"Southern","William Reinhart (11-9)","william-reinhart-2",20,20,1,1,FALSE,27,7,,,,,20,"george-washington",1936,1942,"George Washington"
"cbbm","hardin-simmons",1942,2,"BIAA","Unknown",,16,,,,TRUE,15,,,,,,16,"hardin-simmons",1942,1942,"Hardin-Simmons Cowboys"
"cbbm","holy-cross",1942,22,"Ind","Moose Krause (5-4)","moose-krause-1",9,9,1,1,FALSE,13,3,,,,,9,"holy-cross",1940,1942,"Holy Cross"
